UH#,GLOSS#,Location,Country,Latitude,Longitude,Start,End
834,239,Malin Head,Ireland,55.367,-7.333,4/30/2008,8/24/2024
835,330,Castletownbere,Ireland,51.533,-9.183,12/17/2004,8/31/2024
836,333,Alert,Canada,82.492,-62.317,9/2/2018,8/23/2022
878,,Bullen Bay,Curacao,12.187,-69.02,10/17/2013,8/31/2024
900,10,Inhambane,Mozambique,-23.917,35.5,5/8/2007,7/31/2014
906,141,Moulmein,Myanmar,16.483,97.617,12/1/2006,10/4/2020
907,37,Akyab,Myanmar,20.15,92.9,9/8/2006,8/31/2024
908,38,Port Blair,India,11.683,92.767,10/2/2011,8/31/2019
913,,Telukdalam,Indonesia,0.555,97.822,8/27/2008,6/1/2015
914,,Meulaboh,Indonesia,5.128,96.132,10/27/2008,7/31/2016
915,337,Chabahar,Iran,25.297,60.603,11/1/2007,5/14/2019
920,20,Marion Island,South Africa,-46.867,37.867,9/27/2007,8/31/2024
922,9,Mtwara,Tanzania,-10.283,40.183,8/29/2018,3/31/2019
Charlottetown,,PEI,Canada,46.230587,-63.122522,1/1/1943,12/31/2023
