UH#,GLOSS#,Version,Location,Country,Latitude,Longitude,Start,End,Data,CSV,NetCDF,OldNetCDF,Meta
63,,a,Wewak,Papua New Guinea,-3.57,143.633,8/30/1984,10/29/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
64,,a,Port Moresby,Papua New Guinea,-9.478,147.14,8/11/1984,12/31/1993,daily hourly,daily hourly,daily hourly,daily hourly,meta
65,331,a,Manus,Papua New Guinea,-2.013,147.272,9/5/1984,12/31/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
66,,a,Madang,Papua New Guinea,-5.2,145.8,8/23/1984,12/31/1998,daily hourly,daily hourly,daily hourly,daily hourly,meta
67,,a,Lae,Papua New Guinea,-6.733,146.983,9/1/1984,11/30/1997,daily hourly,daily hourly,daily hourly,daily hourly,meta
68,,a,Kavieng,Papua New Guinea,-2.585,150.795,9/11/1984,12/31/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
69,63,a,Alotau,Papua New Guinea,-10.317,150.453,9/22/1984,2/23/1995,daily hourly,daily hourly,daily hourly,daily hourly,meta
70,127,a,Auckland,New Zealand,-36.85,174.767,5/1/1984,12/30/1988,daily hourly,daily hourly,daily hourly,daily hourly,meta
71,101,a,Wellington,New Zealand,-41.283,174.783,11/18/1944,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
72,129,a,Bluff,New Zealand,-46.6,168.35,10/1/1984,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
73,,a,Tauranga,New Zealand,-37.65,176.183,8/1/1984,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
74,,a,West Port,New Zealand,-41.733,171.6,8/1/1984,12/30/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
75,,a,Wanganui,New Zealand,-39.947,174.99,9/1/1984,12/26/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
76,,a,Taranaki,New Zealand,-39.05,174.033,12/3/1955,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
77,,a,Nelson,New Zealand,-41.267,173.267,7/1/1984,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
78,,a,Gisborne,New Zealand,-38.683,178.033,10/1/1984,3/24/1991,daily hourly,daily hourly,daily hourly,daily hourly,meta
78,,b,Gisborne,New Zealand,-38.683,178.033,1/1/2010,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
79,128,a,Chatham,New Zealand,-43.947,-176.562,1/1/2001,9/30/2010,daily hourly,daily hourly,daily hourly,daily hourly,meta
80,174,a,Antofagasta,Chile,-23.65,-70.4,12/7/1945,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
81,175,a,Valparaiso,Chile,-33.033,-71.633,1/3/1944,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
82,182,a,Acajutla,El Salvador,13.583,-89.833,7/19/1962,7/31/2001,daily hourly,daily hourly,daily hourly,daily hourly,meta
82,182,b,Acajutla,El Salvador,13.583,-89.833,8/2/2001,12/21/2009,daily hourly,daily hourly,daily hourly,daily hourly,meta
82,182,c,Acajutla,El Salvador,13.583,-89.833,8/20/2010,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
83,,a,Arica,Chile,-18.467,-70.333,10/3/1982,12/31/1998,daily hourly,daily hourly,daily hourly,daily hourly,meta
84,,a,Lobos de Afuera,Peru,-6.933,-80.717,7/2/1982,12/31/2016,daily hourly,daily hourly,daily hourly,daily hourly,meta
85,170,a,Buenaventura,Colombia,3.9,-77.1,5/12/1953,12/31/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
86,,a,La Union,El Salvador,13.333,-87.817,1/2/1954,11/11/1980,daily hourly,daily hourly,daily hourly,daily hourly,meta
86,,b,La Union,El Salvador,13.333,-87.817,1/2/2001,12/31/2010,daily hourly,daily hourly,daily hourly,daily hourly,meta
87,167,a,Quepos,Costa Rica,9.4,-84.167,1/2/1961,12/31/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
87,167,b,Quepos,Costa Rica,9.4,-84.167,10/9/2009,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
88,,a,Caldera,Chile,-27.067,-70.833,1/2/1980,12/31/1998,daily hourly,daily hourly,daily hourly,daily hourly,meta
89,,a,Manta,Ecuador,-0.95,-80.733,1/2/1979,12/31/1981,daily hourly,daily hourly,daily hourly,daily hourly,meta
89,,b,Manta,Ecuador,-0.95,-80.733,1/2/1990,12/31/2012,daily hourly,daily hourly,daily hourly,daily hourly,meta
90,162,a,Socorro,Mexico,18.733,-111.017,3/2/1957,7/3/1959,daily hourly,daily hourly,daily hourly,daily hourly,meta
91,172,a,La Libertad,Ecuador,-2.2,-80.917,9/2/1949,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
92,,a,Talara,Peru,-4.582,-81.282,1/2/1950,11/30/1965,daily hourly,daily hourly,daily hourly,daily hourly,meta
92,,b,Talara,Peru,-4.582,-81.282,1/1/1988,12/31/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
93,173,a,Callao,Peru,-12.05,-77.15,1/2/1950,12/31/1965,daily hourly,daily hourly,daily hourly,daily hourly,meta
93,173,b,Callao,Peru,-12.05,-77.15,1/2/1970,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
94,,a,Matarani,Peru,-17.002,-72.108,3/23/1954,12/31/1964,daily hourly,daily hourly,daily hourly,daily hourly,meta
94,,b,Matarani,Peru,-17.002,-72.108,1/3/1992,10/14/2011,daily hourly,daily hourly,daily hourly,daily hourly,meta
94,,c,Matarani,Peru,-17.002,-72.108,10/16/2011,12/31/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
96,,a,San Juan,Peru,-15.367,-75.2,1/2/1978,7/11/2003,daily hourly,daily hourly,daily hourly,daily hourly,meta
96,,b,San Juan,Peru,-15.367,-75.2,7/13/2003,12/31/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
98,,a,Esmeraldas,Ecuador,0.992,-79.647,1/2/1990,12/31/2012,daily hourly,daily hourly,daily hourly,daily hourly,meta
100,,a,Port Stanvac,Australia,-35.108,138.467,6/24/1992,11/30/2010,daily hourly,daily hourly,daily hourly,daily hourly,meta
101,8,a,Mombasa,Kenya,-4.07,39.657,6/18/1986,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
102,,a,Dar Es Salaam,"Tanzania, United Republic of",-6.82,39.288,7/7/1986,9/29/1990,daily hourly,daily hourly,daily hourly,daily hourly,meta
103,18,a,Port Louis,Mauritius,-20.155,57.495,1/2/1942,12/30/1947,daily hourly,daily hourly,daily hourly,daily hourly,meta
103,18,b,Port Louis,Mauritius,-20.155,57.495,3/2/1964,12/30/1965,daily hourly,daily hourly,daily hourly,daily hourly,meta
103,18,c,Port Louis,Mauritius,-20.155,57.495,8/1/1986,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
104,26,b,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the),-7.29,72.393,2/1/1969,6/29/1969,daily hourly,daily hourly,daily hourly,daily hourly,meta
104,26,c,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the),-7.29,72.393,3/2/1988,12/31/2000,daily hourly,daily hourly,daily hourly,daily hourly,meta
104,26,d,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the),-7.29,72.393,8/27/2003,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
105,19,a,Rodrigues,Mauritius,-19.668,63.418,11/9/1986,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
106,,a,Praslin,Seychelles,-4.343,55.767,11/6/1987,6/26/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
107,45,a,Padang,Indonesia,-1,100.367,11/17/1986,9/29/1998,daily hourly,daily hourly,daily hourly,daily hourly,meta
107,45,b,Padang,Indonesia,-1,100.367,12/8/2005,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
108,28,a,Male,Maldives,4.183,73.517,3/1/1988,5/30/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
108,28,b,Male,Maldives,4.183,73.517,8/27/1989,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
